img,idx_label,RGB.ROI_24.redDN,RGB.ROI_24.greenDN,RGB.ROI_24.blueDN,RGB.ROI_24.2G_RBi,RGB.ROI_24.pctR,RGB.ROI_24.pctG,RGB.ROI_24.pctB,RGB.ROI_24.nNDVI,RGB.ROI_24.totalRGB,RGB.ROI_24.AnyColor
2022 06 18 14 00 01.JPG, 128,196.562627,167.227980,121.067227,16.826106,0.405403,0.344901,0.249696,-0.080636,484.857834,-121.656154
2022 06 18 15 00 00.JPG, 129,187.505356,165.507692,128.000568,15.509460,0.389813,0.344081,0.266106,-0.062314,481.013617,-97.011912
2022 06 18 16 00 00.JPG, 130,201.376950,171.364499,122.406711,18.945336,0.406700,0.346087,0.247212,-0.080518,495.148160,-127.928026
2022 06 18 17 00 01.JPG, 131,184.930233,160.855145,127.585195,9.194862,0.390667,0.339808,0.269525,-0.069624,473.370573,-90.614988
2022 06 18 18 00 00.JPG, 132,188.493581,160.981384,126.228920,7.240267,0.396241,0.338407,0.265352,-0.078724,475.703885,-97.017125
2022 06 19 05 00 00.JPG, 133,191.628860,179.465544,149.420163,17.882066,0.368153,0.344785,0.287062,-0.032777,520.514567,-72.254078
2022 06 19 06 00 01.JPG, 134,193.192366,180.250863,149.291163,18.018196,0.369580,0.344823,0.285597,-0.034655,522.734392,-74.860903
2022 06 19 07 00 00.JPG, 135,194.521416,180.159418,149.197490,16.599930,0.371310,0.343896,0.284794,-0.038331,523.878324,-76.285854
2022 06 19 08 00 00.JPG, 136,185.425876,169.850999,138.342597,15.933525,0.375645,0.344093,0.280262,-0.043839,493.619472,-78.591680
2022 06 19 09 00 01.JPG, 137,190.770330,174.100934,134.048827,23.382710,0.382367,0.348956,0.268678,-0.045686,498.920091,-96.773611
2022 06 19 10 00 00.JPG, 138,186.491888,166.515936,125.751327,20.788657,0.389532,0.347807,0.262661,-0.056588,478.759150,-101.505170
2022 06 19 11 00 00.JPG, 139,180.411565,158.118647,117.274841,18.550886,0.395809,0.346900,0.257292,-0.065852,455.805053,-103.980529
2022 06 19 12 00 00.JPG, 140,178.640849,155.865652,115.057903,18.032554,0.397364,0.346704,0.255932,-0.068086,449.564404,-104.390696
2022 06 19 13 00 00.JPG, 141,186.638685,163.501119,119.031364,21.332189,0.397805,0.348489,0.253706,-0.066081,469.171169,-112.077076
2022 06 19 14 00 01.JPG, 142,189.999445,165.994279,120.474364,21.514748,0.398766,0.348385,0.252849,-0.067431,476.468087,-115.044995
2022 06 19 15 00 00.JPG, 143,187.277442,161.990884,114.634414,22.069912,0.403700,0.349191,0.247109,-0.072399,463.902740,-119.999499
2022 06 19 16 00 00.JPG, 144,175.950905,169.058914,142.099758,20.067165,0.361214,0.347065,0.291720,-0.019976,487.109577,-60.810303
2022 06 19 17 00 01.JPG, 145,188.248154,163.585714,114.024851,24.898424,0.404089,0.351149,0.244763,-0.070097,465.858720,-123.784166
2022 06 19 18 00 00.JPG, 146,191.429532,165.150358,110.636742,28.234441,0.409723,0.353477,0.236800,-0.073698,467.216632,-135.306405
