img,idx_label,RGB.redDN,RGB.greenDN,RGB.blueDN,RGB.2G_RBi,RGB.pctR,RGB.pctG,RGB.pctB,RGB.nNDVI,RGB.totalRGB,RGB.AnyColor
2022 06 26 10 00 00.JPG,235,175.139906,156.262425,80.853748,56.531196,0.424833,0.379042,0.196125,-0.056962,412.256079,-169.694834
2022 06 26 11 00 00.JPG,236,177.854029,159.465273,83.572602,57.503914,0.422565,0.378875,0.198561,-0.054514,420.891904,-170.174097
2022 06 26 12 00 01.JPG,237,170.525513,156.218551,83.416307,58.495281,0.415753,0.380872,0.203375,-0.043786,410.160371,-159.911449
2022 06 26 13 00 00.JPG,238,172.118839,159.717937,84.625897,62.691138,0.413288,0.383511,0.203202,-0.037370,416.462674,-162.584982
2022 06 26 14 00 00.JPG,239,167.609697,156.311010,84.415415,60.596908,0.410470,0.382800,0.206730,-0.034881,408.336122,-155.089877
2022 06 26 15 00 01.JPG,240,174.394424,159.010993,84.072615,59.554946,0.417733,0.380885,0.201382,-0.046140,417.478032,-165.260187
2022 06 26 16 00 00.JPG,241,180.729598,163.247433,80.598100,65.167168,0.425672,0.384496,0.189832,-0.050824,424.575132,-182.780830
2022 06 26 17 00 00.JPG,242,181.776715,163.212120,75.811973,68.835551,0.431978,0.387861,0.180161,-0.053812,420.800808,-193.364889
2022 06 26 18 00 01.JPG,243,191.634253,183.405287,96.226974,78.949347,0.406637,0.389175,0.204188,-0.021942,471.266514,-182.585591
2022 06 27 05 00 01.JPG,244,179.476685,156.096238,77.811850,54.903940,0.434164,0.377605,0.188231,-0.069673,413.384773,-179.949222
2022 06 27 06 00 00.JPG,245,177.549373,153.879931,73.894070,56.316417,0.438044,0.379647,0.182309,-0.071416,405.323374,-183.641163
2022 06 27 07 00 00.JPG,246,181.444240,157.203751,75.828686,57.134577,0.437767,0.379283,0.182950,-0.071580,414.476676,-186.990620
2022 06 27 08 00 01.JPG,247,178.058842,159.819441,80.602336,60.977703,0.425489,0.381904,0.192607,-0.053982,418.480619,-176.673610
2022 06 27 09 00 00.JPG,248,171.178354,157.968743,84.138767,60.620365,0.414189,0.382226,0.203585,-0.040133,413.285865,-160.869564
2022 06 27 10 00 00.JPG,249,165.490612,152.865537,80.679473,59.560989,0.414726,0.383087,0.202186,-0.039657,399.035623,-156.997204
2022 06 27 11 00 01.JPG,250,168.180948,156.190501,83.120989,61.079064,0.412722,0.383297,0.203982,-0.036965,407.492438,-158.129471
2022 06 27 12 00 00.JPG,251,166.113108,152.427008,80.273690,58.467218,0.416518,0.382201,0.201281,-0.042965,398.813806,-157.992735
2022 06 27 13 00 00.JPG,252,157.979125,147.485103,80.377554,56.613528,0.409440,0.382242,0.208317,-0.034354,385.841782,-144.709120
2022 06 27 14 00 01.JPG,253,158.848434,156.670382,90.412402,64.079929,0.391319,0.385953,0.222728,-0.006903,405.931218,-134.694012
2022 06 27 15 00 00.JPG,254,167.280699,150.582409,77.161321,56.722798,0.423469,0.381198,0.195333,-0.052533,395.024429,-163.540465
2022 06 27 16 00 00.JPG,255,164.676925,157.939978,86.673128,64.529904,0.402348,0.385888,0.211765,-0.020882,409.290031,-149.270647
2022 06 27 17 00 01.JPG,256,161.249451,158.988473,96.418605,60.308889,0.387008,0.381582,0.231410,-0.007060,416.656529,-127.400713
2022 06 27 18 00 00.JPG,257,184.379383,168.508271,85.876881,66.760278,0.420224,0.384052,0.195724,-0.044975,438.764535,-181.133893
2022 06 28 05 00 00.JPG,258,146.471956,160.999989,116.206274,59.321749,0.345715,0.380005,0.274280,0.047250,423.678219,-75.059397
2022 06 28 06 00 00.JPG,259,140.027130,159.019096,116.820324,61.190737,0.336712,0.382380,0.280908,0.063508,415.866550,-65.405578
2022 06 28 07 00 01.JPG,260,159.440302,157.308663,97.195426,57.981598,0.385173,0.380024,0.234803,-0.006730,413.944391,-122.358112
2022 06 28 08 00 00.JPG,261,163.452699,157.531208,94.151400,57.458317,0.393734,0.379470,0.226797,-0.018448,415.135306,-132.681106
2022 06 28 09 00 00.JPG,262,163.362107,156.319742,91.298738,57.978639,0.397493,0.380358,0.222149,-0.022029,410.980587,-137.084374
2022 06 28 10 00 01.JPG,263,162.301612,155.606372,89.963279,58.947853,0.397924,0.381509,0.220568,-0.021060,407.871264,-137.981427
2022 06 28 11 00 00.JPG,264,164.869651,155.971651,89.099782,57.973870,0.402179,0.380473,0.217348,-0.027733,409.941084,-142.641739
2022 06 28 12 00 00.JPG,265,168.290330,157.240677,87.330543,58.860480,0.407619,0.380856,0.211525,-0.033943,412.861550,-150.869921
2022 06 28 13 00 01.JPG,266,163.250811,156.316134,92.884042,56.497414,0.395807,0.378993,0.225200,-0.021700,412.450987,-133.798860
2022 06 28 14 00 00.JPG,267,167.125426,158.366050,89.843289,59.763385,0.402387,0.381297,0.216315,-0.026911,415.334764,-145.804898
2022 06 28 15 00 00.JPG,268,161.464847,145.818764,74.298012,55.874667,0.423146,0.382143,0.194711,-0.050917,381.581623,-158.687587
2022 06 28 16 00 01.JPG,269,165.850118,161.894131,97.928336,60.009807,0.389619,0.380325,0.230056,-0.012070,425.672584,-131.887577
2022 06 28 17 00 00.JPG,270,161.079928,156.941444,95.614192,57.188768,0.389425,0.379420,0.231156,-0.013013,413.635564,-126.792988
2022 06 28 18 00 00.JPG,271,189.848368,179.762767,96.404729,73.272438,0.407386,0.385744,0.206870,-0.027287,466.015864,-176.801678
2022 06 29 05 00 00.JPG,272,145.972938,149.855918,87.214520,66.524378,0.381087,0.391224,0.227688,0.013126,383.043375,-121.399817
2022 06 29 06 00 01.JPG,273,135.266143,138.722738,77.117507,65.061827,0.385257,0.395102,0.219641,0.012616,351.106388,-119.753868
2022 06 29 07 00 00.JPG,274,157.333001,156.030508,83.251981,71.476034,0.396689,0.393405,0.209906,-0.004156,396.615489,-146.859547
2022 06 29 08 00 00.JPG,275,160.702732,157.206121,81.795016,71.914494,0.402054,0.393306,0.204639,-0.010999,399.703869,-154.318821
2022 06 29 09 00 01.JPG,276,157.604530,152.435096,80.177113,67.088549,0.403890,0.390642,0.205468,-0.016673,390.216739,-149.685399
2022 06 29 10 00 00.JPG,277,159.296044,154.165588,83.559149,65.475983,0.401228,0.388306,0.210465,-0.016367,397.020781,-146.343333
