img,idx_label,RGB.ROI_20.redDN,RGB.ROI_20.greenDN,RGB.ROI_20.blueDN,RGB.ROI_20.2G_RBi,RGB.ROI_20.pctR,RGB.ROI_20.pctG,RGB.ROI_20.pctB,RGB.ROI_20.nNDVI,RGB.ROI_20.totalRGB,RGB.ROI_20.AnyColor,RGB.ROI_22.redDN,RGB.ROI_22.greenDN,RGB.ROI_22.blueDN,RGB.ROI_22.2G_RBi,RGB.ROI_22.pctR,RGB.ROI_22.pctG,RGB.ROI_22.pctB,RGB.ROI_22.nNDVI,RGB.ROI_22.totalRGB,RGB.ROI_22.AnyColor
2022 06 28 07 00 00.JPG, 263,184.146675,167.070038,129.923305,20.070095,0.382730,0.347238,0.270032,-0.048621,481.140018,-91.370102,183.235770,165.922466,122.980687,25.628474,0.388097,0.351427,0.260476,-0.049586,472.138923,-103.196862
2022 06 28 08 00 01.JPG, 264,185.700840,165.806215,125.665196,20.246394,0.389169,0.347477,0.263354,-0.056598,477.172250,-100.176663,179.771782,159.915925,115.863813,24.196255,0.394624,0.351038,0.254337,-0.058453,455.551521,-107.960080
2022 06 28 09 00 00.JPG, 265,189.274077,166.388168,123.712493,19.789765,0.394835,0.347094,0.258071,-0.064347,479.374738,-108.237259,184.183770,161.183435,114.079091,24.104010,0.400882,0.350821,0.248297,-0.066597,459.446296,-117.209022
2022 06 28 10 00 00.JPG, 266,182.210185,161.828006,118.757924,22.687904,0.393716,0.349675,0.256610,-0.059244,462.796115,-106.522344,179.556868,158.743461,110.496658,27.433395,0.400085,0.353709,0.246206,-0.061523,448.796987,-117.307011
2022 06 28 11 00 01.JPG, 267,183.508832,162.823335,120.490385,21.647453,0.393102,0.348791,0.258107,-0.059727,466.822552,-105.351398,178.460749,157.793610,110.998320,26.128152,0.399015,0.352806,0.248178,-0.061463,447.252679,-114.257719
2022 06 28 12 00 00.JPG, 268,191.788350,166.754493,120.020855,21.699781,0.400758,0.348448,0.250794,-0.069821,478.563698,-118.501133,185.830464,159.272895,106.730819,25.984507,0.411280,0.352503,0.236217,-0.076955,451.834179,-131.641721
2022 06 28 13 00 00.JPG, 269,182.593897,163.617774,123.844051,20.797599,0.388452,0.348082,0.263467,-0.054811,470.055722,-98.523569,178.371559,159.401260,114.901567,25.529394,0.394039,0.352132,0.253828,-0.056163,452.674386,-107.969685
2022 06 28 14 00 00.JPG, 270,170.147202,148.380452,106.705620,19.908081,0.400127,0.348939,0.250934,-0.068336,425.233274,-105.116413,180.282849,157.991253,105.221488,30.478170,0.406504,0.356241,0.237255,-0.065898,443.495590,-127.831125
2022 06 28 15 00 00.JPG, 271,175.726834,158.474295,116.559378,24.662378,0.389845,0.351571,0.258584,-0.051623,450.760507,-101.082372,174.519576,156.498780,109.290337,29.187646,0.396357,0.355430,0.248213,-0.054440,440.308693,-112.437681
2022 06 28 16 00 01.JPG, 272,179.788153,161.271122,120.364261,22.389831,0.389638,0.349508,0.260854,-0.054293,461.423536,-100.330754,175.136867,156.946834,112.273473,26.483328,0.394135,0.353200,0.252665,-0.054775,444.357174,-107.536756
