img,idx_label,RGB.ROI_31.redDN,RGB.ROI_31.greenDN,RGB.ROI_31.blueDN,RGB.ROI_31.2G_RBi,RGB.ROI_31.pctR,RGB.ROI_31.pctG,RGB.ROI_31.pctB,RGB.ROI_31.nNDVI,RGB.ROI_31.totalRGB,RGB.ROI_31.AnyColor,RGB.ROI_32.redDN,RGB.ROI_32.greenDN,RGB.ROI_32.blueDN,RGB.ROI_32.2G_RBi,RGB.ROI_32.pctR,RGB.ROI_32.pctG,RGB.ROI_32.pctB,RGB.ROI_32.nNDVI,RGB.ROI_32.totalRGB,RGB.ROI_32.AnyColor
2022 06 29 10 47 51.JPG,278,91.333065,86.598936,45.811174,36.053632,0.408205,0.387046,0.204749,-0.026606,223.743175,-86.309652,154.117071,146.214631,71.618070,66.694121,0.414349,0.393103,0.192548,-0.026312,371.949772,-157.095563
2022 06 29 11 47 52.JPG,279,109.692543,104.740149,55.678440,44.109316,0.406102,0.387767,0.206132,-0.023095,270.111132,-103.075812,149.513061,143.014375,71.481699,65.033990,0.410740,0.392887,0.196373,-0.022216,364.009134,-149.564038
2022 06 29 12 47 51.JPG,280,97.711908,97.002602,59.717994,36.575302,0.384039,0.381251,0.234711,-0.003643,254.432503,-75.278522,177.604577,171.210051,88.930387,75.885138,0.405726,0.391118,0.203156,-0.018332,437.745016,-170.953854
2022 06 29 13 47 51.JPG,281,148.293236,138.497163,72.321796,56.379295,0.412944,0.385665,0.201391,-0.034158,359.112195,-142.146807,150.746707,142.598631,68.838680,65.611874,0.416216,0.393719,0.190065,-0.027776,362.184018,-155.667976
2022 06 29 14 47 51.JPG,282,159.279632,148.261327,77.643976,59.599045,0.413515,0.384909,0.201576,-0.035827,385.184936,-152.253007,152.043764,143.204177,65.055408,69.309182,0.421988,0.397454,0.180557,-0.029940,360.303349,-165.137125
2022 06 29 15 47 51.JPG,283,173.477084,161.068476,82.534212,66.125657,0.415933,0.386181,0.197886,-0.037091,417.079772,-169.477137,157.312120,148.230068,62.523793,76.624222,0.427402,0.402727,0.169871,-0.029724,368.065981,-180.494602
2022 06 29 16 47 52.JPG,284,190.635496,178.538228,90.663302,75.777658,0.414572,0.388264,0.197164,-0.032768,459.837025,-187.847120,170.033921,161.252938,65.065047,87.406909,0.428997,0.406843,0.164160,-0.026506,396.351907,-201.156765
2022 06 29 17 47 51.JPG,285,207.155676,198.971834,102.578081,88.209910,0.407221,0.391134,0.201645,-0.020151,508.705592,-200.971347,190.978116,187.948676,73.814424,111.104812,0.421826,0.415135,0.163039,-0.007995,452.741216,-231.297945
2022 06 29 18 47 51.JPG,286,154.868725,152.736030,84.202199,66.401136,0.395268,0.389825,0.214907,-0.006933,391.806953,-139.200357,152.685820,154.716040,70.870546,85.875714,0.403640,0.409007,0.187353,0.006604,378.272406,-165.660768
2022 06 30 05 00 01.JPG,287,122.566950,137.341972,91.198618,60.918375,0.349087,0.391168,0.259746,0.056847,351.107540,-77.511685,186.734792,189.446386,99.223434,92.934546,0.392791,0.398495,0.208714,0.007208,475.404612,-177.734310
2022 06 30 06 00 00.JPG,288,113.767165,123.626401,80.312152,53.173484,0.358090,0.389122,0.252788,0.041531,317.705718,-76.769262,171.137290,174.265482,88.768115,88.625558,0.394170,0.401375,0.204454,0.009057,434.170887,-167.866542
2022 06 30 07 00 00.JPG,289,117.222476,121.680040,69.947710,56.189895,0.379545,0.393978,0.226478,0.018659,308.850227,-99.007097,189.770456,187.504263,90.128739,95.109331,0.406010,0.401161,0.192829,-0.006007,467.403459,-197.017241
2022 06 30 08 00 01.JPG,290,111.521415,112.892307,63.688242,50.574957,0.387090,0.391848,0.221061,0.006109,288.101965,-97.037239,188.520643,185.257691,88.544759,93.449979,0.407768,0.400710,0.191521,-0.008730,462.323093,-196.688817
2022 06 30 09 00 00.JPG,291,112.688348,113.295498,63.352023,50.550626,0.389472,0.391571,0.218957,0.002687,289.335869,-99.279800,183.927420,179.278647,86.903201,87.726672,0.408628,0.398300,0.193071,-0.012799,450.109268,-189.399664
2022 06 30 10 00 00.JPG,292,116.474972,112.313932,61.856157,46.296735,0.400746,0.386430,0.212824,-0.018187,290.645061,-105.076591,178.968875,171.084211,83.122881,80.076667,0.413155,0.394953,0.191892,-0.022524,433.175967,-183.807324
2022 06 30 11 00 01.JPG,293,121.479614,117.482765,62.932461,50.553454,0.402390,0.389151,0.208458,-0.016726,301.894839,-113.097457,172.923111,164.629862,80.594218,75.742395,0.413546,0.393713,0.192741,-0.024569,418.147190,-176.364537
2022 06 30 12 00 00.JPG,294,130.564457,123.681138,64.116475,52.681343,0.410113,0.388492,0.201395,-0.027074,318.362070,-126.012645,160.355646,151.216537,71.872550,70.204879,0.418198,0.394363,0.187439,-0.029332,383.444733,-167.827082
2022 06 30 13 00 00.JPG,295,102.810950,104.253672,63.054358,42.642036,0.380614,0.385955,0.233432,0.006967,270.118981,-80.955906,124.729987,124.431715,65.486795,58.646647,0.396411,0.395463,0.208127,-0.001197,314.648497,-118.188112
2022 06 30 14 00 01.JPG,296,160.627155,148.130231,76.044056,59.589251,0.417429,0.384952,0.197619,-0.040475,384.801442,-156.669273,161.075632,150.392429,68.072669,71.636557,0.424396,0.396248,0.179355,-0.034300,379.540730,-175.322723
2022 06 30 15 00 00.JPG,297,172.583362,154.674571,73.753464,63.012315,0.430370,0.385711,0.183919,-0.054724,401.011397,-179.751005,167.803375,153.248208,64.778562,73.914479,0.434915,0.397191,0.167894,-0.045336,385.830144,-191.494459
2022 06 30 16 00 00.JPG,298,191.932257,162.561573,70.009423,63.181465,0.452134,0.382945,0.164921,-0.082852,424.503253,-214.474983,184.887408,161.994826,62.853481,76.248763,0.451236,0.395364,0.153400,-0.065995,409.735716,-221.175272
2022 06 30 17 00 01.JPG,299,194.920317,159.695934,66.891810,57.579742,0.462436,0.378868,0.158696,-0.099331,421.508061,-220.832632,190.328754,162.187821,62.991699,71.055189,0.458062,0.390336,0.151602,-0.079829,415.508274,-226.533176
2022 06 30 18 00 00.JPG,300,188.346497,153.213673,59.562627,58.518223,0.469548,0.381962,0.148490,-0.102860,401.122797,-222.434917,193.325330,161.341865,56.966602,72.391798,0.469654,0.391955,0.138391,-0.090179,411.633797,-240.733992
2022 07 13 10 00 40.JPG,301,120.180571,125.950442,71.480042,60.240271,0.378389,0.396556,0.225055,0.023442,317.611055,-103.170929,161.262050,158.845648,87.349433,69.079811,0.395777,0.389846,0.214377,-0.007549,407.457131,-145.408831
2022 07 13 11 00 40.JPG,302,151.657806,149.328135,86.383641,60.614822,0.391507,0.385493,0.223001,-0.007740,387.369582,-128.218658,168.896082,164.703082,84.070887,76.439196,0.404377,0.394338,0.201285,-0.012569,417.670051,-165.457391
2022 07 13 12 00 41.JPG,303,142.057156,140.279748,76.255752,62.246587,0.396152,0.391195,0.212653,-0.006295,358.592656,-129.825400,168.991781,164.411318,83.337494,76.493361,0.405508,0.394517,0.199975,-0.013739,416.740593,-166.728112
2022 07 13 13 00 40.JPG,304,139.764256,137.698864,73.407410,62.226062,0.398336,0.392449,0.209215,-0.007444,350.870531,-130.648300,162.013712,155.702379,78.625003,70.766042,0.408773,0.392849,0.198377,-0.019865,396.341093,-160.466083
