img,idx_label,RGB.ROI_02.redDN,RGB.ROI_02.greenDN,RGB.ROI_02.blueDN,RGB.ROI_02.2G_RBi,RGB.ROI_02.pctR,RGB.ROI_02.pctG,RGB.ROI_02.pctB,RGB.ROI_02.nNDVI,RGB.ROI_02.totalRGB,RGB.ROI_02.AnyColor,RGB.ROI_06.redDN,RGB.ROI_06.greenDN,RGB.ROI_06.blueDN,RGB.ROI_06.2G_RBi,RGB.ROI_06.pctR,RGB.ROI_06.pctG,RGB.ROI_06.pctB,RGB.ROI_06.nNDVI,RGB.ROI_06.totalRGB,RGB.ROI_06.AnyColor,RGB.ROI_09.redDN,RGB.ROI_09.greenDN,RGB.ROI_09.blueDN,RGB.ROI_09.2G_RBi,RGB.ROI_09.pctR,RGB.ROI_09.pctG,RGB.ROI_09.pctB,RGB.ROI_09.nNDVI,RGB.ROI_09.totalRGB,RGB.ROI_09.AnyColor
2022 06 21 14 00 07.JPG,  89,167.770694,153.103920,99.875984,38.561161,0.398741,0.363883,0.237376,-0.045709,420.750598,-121.122646,175.091200,163.865841,97.031807,55.608676,0.401596,0.375849,0.222556,-0.033117,435.988848,-144.893428,130.289873,113.015294,63.159532,32.581182,0.425138,0.368771,0.206091,-0.071000,306.464699,-116.986104
2022 06 21 15 00 08.JPG,  90,168.836702,155.046488,101.153313,40.102960,0.397229,0.364784,0.237987,-0.042578,425.036503,-121.576563,177.306120,166.911340,98.681764,57.834795,0.400331,0.376861,0.222809,-0.030198,442.899224,-146.853930,123.483454,108.617314,60.289876,33.461297,0.422324,0.371480,0.206196,-0.064050,292.390644,-111.521016
2022 06 21 16 00 07.JPG,  91,147.408248,149.210018,111.166234,39.845553,0.361486,0.365904,0.272610,0.006074,407.784500,-74.285798,160.040301,166.265046,115.407428,57.082364,0.362318,0.376410,0.261273,0.019076,441.712775,-95.490491,116.039094,117.647829,80.974300,38.282263,0.368775,0.373887,0.257338,0.006884,314.661223,-71.738323
2022 06 21 17 00 07.JPG,  92,142.240286,143.529022,105.232838,39.584919,0.363784,0.367080,0.269136,0.004510,391.002146,-75.303632,166.540434,170.195563,114.159023,59.691668,0.369355,0.377462,0.253183,0.010855,450.895020,-108.417950,129.805245,128.372690,84.827140,42.112994,0.378435,0.374259,0.247306,-0.005549,343.005075,-88.523654
2022 06 21 18 00 08.JPG,  93,140.583769,148.995116,111.774372,45.632091,0.350274,0.371232,0.278494,0.029047,401.353257,-66.030140,177.623434,185.013120,123.469109,68.933698,0.365401,0.380603,0.253996,0.020378,486.105662,-115.698337,132.106721,134.444979,93.806816,42.976420,0.366598,0.373087,0.260315,0.008772,360.358515,-78.938069
2022 06 22 05 00 01.JPG,  94,164.558057,151.134343,103.295285,34.415343,0.392752,0.360713,0.246535,-0.042522,418.987685,-109.101831,157.557672,152.969765,100.218811,48.163047,0.383589,0.372419,0.243992,-0.014775,410.746249,-110.089816,158.430148,140.674990,88.309904,34.609928,0.408942,0.363112,0.227947,-0.059361,387.415042,-122.485330
2022 06 22 06 00 00.JPG,  95,182.669655,167.812688,104.831581,48.124139,0.401195,0.368565,0.230240,-0.042390,455.313924,-140.819180,156.995463,149.536278,94.208604,47.868490,0.391764,0.373150,0.235086,-0.024334,400.740345,-118.114534,170.694386,150.647749,92.170427,38.430684,0.412791,0.364312,0.222896,-0.062384,413.512563,-137.001281
2022 06 22 07 00 00.JPG,  96,187.059258,174.243704,106.059741,55.368410,0.400244,0.372823,0.226932,-0.035470,467.362703,-149.183480,166.232308,159.680575,96.584829,56.544013,0.393451,0.377944,0.228604,-0.020103,422.497711,-132.743226,156.160427,138.082296,83.872263,36.131903,0.412997,0.365186,0.221817,-0.061440,378.114986,-126.498197
2022 06 22 08 00 00.JPG,  97,171.982200,158.731486,96.570037,48.910735,0.402501,0.371490,0.226009,-0.040067,427.283723,-137.573612,163.294526,157.157239,93.235349,57.784603,0.394730,0.379894,0.225376,-0.019152,413.687114,-133.981066,165.718535,148.095894,84.899894,45.573358,0.415632,0.371434,0.212934,-0.056156,398.714323,-144.014640
2022 06 22 09 00 00.JPG,  98,172.977451,156.288461,101.390308,38.209163,0.401660,0.362908,0.235432,-0.050685,430.656220,-126.485297,165.863410,157.484394,98.429417,50.675960,0.393249,0.373383,0.233368,-0.025913,421.777221,-126.488970,165.738847,144.935747,87.105014,37.027633,0.416660,0.364362,0.218978,-0.066961,397.779608,-136.464565
