FileName,CreateDate,FileSize
WSCT0100.JPG,2022 06 16 14 00 01,5976613
WSCT0101.JPG,2022 06 16 15 00 00,5856247
WSCT0102.JPG,2022 06 16 16 00 00,5658668
WSCT0103.JPG,2022 06 16 17 00 01,5619957
WSCT0104.JPG,2022 06 16 18 00 00,5945517
WSCT0105.JPG,2022 06 17 05 00 00,5718261
WSCT0106.JPG,2022 06 17 06 00 00,5779134
WSCT0107 (2).JPG,2022 08 04 10 23 19,5950167
WSCT0107.JPG,2022 06 17 07 00 01,5873898
WSCT0108 (2).JPG,2022 08 04 11 23 19,5820467
WSCT0108.JPG,2022 06 17 08 00 00,5617801
WSCT0109 (2).JPG,2022 08 04 12 23 19,5620732
WSCT0109.JPG,2022 06 17 09 00 00,5793976
WSCT0110 (2).JPG,2022 08 04 13 23 19,5836995
WSCT0110.JPG,2022 06 17 10 00 01,5782557
WSCT0111 (2).JPG,2022 08 04 14 23 19,5913465
WSCT0111.JPG,2022 06 17 11 00 00,5854553
WSCT0112 (2).JPG,2022 08 04 15 23 20,5618548
WSCT0112.JPG,2022 06 17 12 00 00,5673840
WSCT0113 (2).JPG,2022 08 04 16 23 20,5660178
WSCT0113.JPG,2022 06 17 13 00 01,5887224
WSCT0114 (2).JPG,2022 08 04 17 23 19,5968945
WSCT0114.JPG,2022 06 17 14 00 00,5789887
WSCT0115 (2).JPG,2022 08 04 18 23 19,5598233
WSCT0115.JPG,2022 06 17 15 00 00,5709024
WSCT0116 (2).JPG,2022 08 05 05 00 00,2931458
WSCT0116.JPG,2022 06 17 16 00 00,5641953
WSCT0117 (2).JPG,2022 08 05 06 00 00,5293860
WSCT0117.JPG,2022 06 17 17 00 01,5657407
WSCT0118 (2).JPG,2022 08 05 07 00 01,5613152
WSCT0118.JPG,2022 06 17 18 00 00,5763400
WSCT0119 (2).JPG,2022 08 05 08 00 00,5659242
WSCT0119.JPG,2022 06 18 05 00 00,5702684
WSCT0120 (2).JPG,2022 08 05 09 00 00,5669945
WSCT0120.JPG,2022 06 18 06 00 01,5772746
WSCT0121 (2).JPG,2022 08 05 10 00 00,5687936
WSCT0121.JPG,2022 06 18 07 00 00,5778093
WSCT0122 (2).JPG,2022 08 05 11 00 01,5697418
WSCT0122.JPG,2022 06 18 08 00 00,5871725
WSCT0123 (2).JPG,2022 08 05 12 00 01,5662161
WSCT0123.JPG,2022 06 18 09 00 00,5869826
WSCT0124 (2).JPG,2022 08 05 13 00 00,5770548
WSCT0124.JPG,2022 06 18 10 00 01,5642263
WSCT0125 (2).JPG,2022 08 05 14 00 00,5818026
WSCT0125.JPG,2022 06 18 11 00 00,5706953
WSCT0126 (2).JPG,2022 08 05 15 00 00,5901258
WSCT0126.JPG,2022 06 18 12 00 00,5948085
WSCT0127 (2).JPG,2022 08 05 16 00 00,5798551
WSCT0127.JPG,2022 06 18 13 00 01,5887141
WSCT0128 (2).JPG,2022 08 05 17 00 01,5701802
WSCT0128.JPG,2022 06 18 14 00 00,5739706
WSCT0129 (2).JPG,2022 08 05 18 00 00,5651581
WSCT0129.JPG,2022 06 18 15 00 00,5870088
WSCT0130 (2).JPG,2022 08 06 05 00 00,5526362
WSCT0130.JPG,2022 06 18 16 00 01,5642097
WSCT0131 (2).JPG,2022 08 06 06 00 00,5580738
WSCT0131.JPG,2022 06 18 17 00 01,5951296
WSCT0132 (2).JPG,2022 08 06 07 00 00,5568651
WSCT0132.JPG,2022 06 18 18 00 00,5902597
WSCT0133 (2).JPG,2022 08 06 08 00 01,5599021
WSCT0133.JPG,2022 06 19 05 00 00,5761915
WSCT0134 (2).JPG,2022 08 06 09 00 00,5725351
WSCT0134.JPG,2022 06 19 06 00 01,5840134
WSCT0135 (2).JPG,2022 08 06 10 00 00,5705061
WSCT0135.JPG,2022 06 19 07 00 00,5867457
WSCT0136 (2).JPG,2022 08 06 11 00 00,5837754
WSCT0136.JPG,2022 06 19 08 00 00,5974724
WSCT0137 (2).JPG,2022 08 06 12 00 00,5725078
WSCT0137.JPG,2022 06 19 09 00 00,5851183
WSCT0138 (2).JPG,2022 08 06 13 00 01,5676226
WSCT0138.JPG,2022 06 19 10 00 01,5883947
WSCT0139 (2).JPG,2022 08 06 14 00 00,5686289
WSCT0139.JPG,2022 06 19 11 00 00,5927533
WSCT0140 (2).JPG,2022 08 06 15 00 00,5863012
WSCT0140.JPG,2022 06 19 12 00 00,5600925
WSCT0141 (2).JPG,2022 08 06 16 00 00,5661706
WSCT0141.JPG,2022 06 19 13 00 01,5945653
